descubrir, tu, presente;descubrir;odkryć;tu;presente;descubres;odkrywasz;False;
descubrir, el, presente;descubrir;odkryć;el;presente;descubre;odkrywa;False;
descubrir, ns, presente;descubrir;odkryć;ns;presente;descubrimos;odkrywamy;False;
descubrir, vs, presente;descubrir;odkryć;vs;presente;descubrís;odkrywacie;False;
descubrir, ellos, presente;descubrir;odkryć;ellos;presente;descubren;odkrywaą;False;
descubrir, yo, pret. indefinido;descubrir;odkryć;yo;pret_indefinido;descubrí;odkryłem;False;
descubrir, tu, pret. indefinido;descubrir;odkryć;tu;pret_indefinido;descubriste;odkryłeś;False;
descubrir, el, pret. indefinido;descubrir;odkryć;el;pret_indefinido;descubrió;odkrył;False;
descubrir, ns, pret. indefinido;descubrir;odkryć;ns;pret_indefinido;descubrimos;odkryliśmy;False;
descubrir, vs, pret. indefinido;descubrir;odkryć;vs;pret_indefinido;descubristeis;odkryliście;False;
descubrir, ellos, pret. indefinido;descubrir;odkryć;ellos;pret_indefinido;descubrieron;odkryli;False;
descubrir, yo, pret. perfecto;descubrir;odkryć;yo;pret_perfecto;he descubierto;;True;
descubrir, tu, pret. perfecto;descubrir;odkryć;tu;pret_perfecto;has descubierto;;True;
descubrir, el, pret. perfecto;descubrir;odkryć;el;pret_perfecto;ha descubierto;;True;
descubrir, ns, pret. perfecto;descubrir;odkryć;ns;pret_perfecto;hemos descubierto;;True;
descubrir, vs, pret. perfecto;descubrir;odkryć;vs;pret_perfecto;habéis descubierto;;True;
descubrir, ellos, pret. perfecto;descubrir;odkryć;ellos;pret_perfecto;han descubierto;;True;
despertarse, yo, presente;despertarse;budzić się;yo;presente;me despierto;budzę się;True;
despertarse, tu, presente;despertarse;budzić się;tu;presente;te despiertas;budzisz się;True;
despertarse, el, presente;despertarse;budzić się;el;presente;se despierta;budzi się się;True;
despertarse, ns, presente;despertarse;budzić się;ns;presente;nos despertamos;budzimy się się;False;
despertarse, vs, presente;despertarse;budzić się;vs;presente;os despertáis;budzicie się;False;
despertarse, ellos, presente;despertarse;budzić się;ellos;presente;se despiertan;budzą się;True;
despertarse, yo, pret. indefinido;despertarse;budzić się;yo;pret_indefinido;me desperté;budziłem się się;False;
despertarse, tu, pret. indefinido;despertarse;budzić się;tu;pret_indefinido;te despertaste;budziłeś się się;False;
despertarse, el, pret. indefinido;despertarse;budzić się;el;pret_indefinido;se despertó;budził się się;False;
despertarse, ns, pret. indefinido;despertarse;budzić się;ns;pret_indefinido;nos despertamos;budziliśmy się się;False;
despertarse, vs, pret. indefinido;despertarse;budzić się;vs;pret_indefinido;os despertasteis;budziliście się się;False;
despertarse, ellos, pret. indefinido;despertarse;budzić się;ellos;pret_indefinido;se despertaron;budzili się się;False;
despertarse, yo, pret. perfecto;despertarse;budzić się;yo;pret_perfecto;me he despertado;;False;
despertarse, tu, pret. perfecto;despertarse;budzić się;tu;pret_perfecto;te has despertado;;False;
despertarse, el, pret. perfecto;despertarse;budzić się;el;pret_perfecto;se ha despertado;;False;
despertarse, ns, pret. perfecto;despertarse;budzić się;ns;pret_perfecto;nos hemos despertado;;False;
despertarse, vs, pret. perfecto;despertarse;budzić się;vs;pret_perfecto;os habéis despertado;;False;
