#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::Basic verbs::all
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint
"pedir, usted, imperativo",pedir,poprosić,to ask for,ud,imperativo,p<em>i</em>da,,True,
"pedir, ns, imperativo",pedir,poprosić,to ask for,ns,imperativo,p<em>i</em>damos,,True,
"pedir, vs, imperativo",pedir,poprosić,to ask for,vs,imperativo,pedid,,False,
"pedir, ustedes, imperativo",pedir,poprosić,to ask for,uds,imperativo,p<em>i</em>dan,,True,
"pedir, yo, futuro",pedir,poprosić,to ask for,yo,futuro_simple,pediré,,False,
"pedir, tú, futuro",pedir,poprosić,to ask for,tu,futuro_simple,pedirás,,False,
"pedir, él, futuro",pedir,poprosić,to ask for,el,futuro_simple,pedirá,,False,
"pedir, ns, futuro",pedir,poprosić,to ask for,ns,futuro_simple,pediremos,,False,
"pedir, vs, futuro",pedir,poprosić,to ask for,vs,futuro_simple,pediréis,,False,
"pedir, ellos, futuro",pedir,poprosić,to ask for,ellos,futuro_simple,pedirán,,False,
"pensar, yo, presente",pensar,myśleć,to think,yo,presente,p<em>i</em>enso,myślę,True,
"pensar, tú, presente",pensar,myśleć,to think,tu,presente,p<em>i</em>ensas,myślisz,True,
"pensar, él, presente",pensar,myśleć,to think,el,presente,p<em>i</em>ensa,myśli,True,
"pensar, ns, presente",pensar,myśleć,to think,ns,presente,pensamos,myślimy,False,
"pensar, vs, presente",pensar,myśleć,to think,vs,presente,pensáis,myślicie,False,
"pensar, ellos, presente",pensar,myśleć,to think,ellos,presente,p<em>i</em>ensan,myślią,True,
"pensar, yo, pret. indefinido",pensar,myśleć,to think,yo,pret_indefinido,pensé,myśllałem,False,
"pensar, tú, pret. indefinido",pensar,myśleć,to think,tu,pret_indefinido,pensaste,myśllałeś,False,
"pensar, él, pret. indefinido",pensar,myśleć,to think,el,pret_indefinido,pensó,myśllał,False,
"pensar, ns, pret. indefinido",pensar,myśleć,to think,ns,pret_indefinido,pensamos,myśleliśmy,False,
"pensar, vs, pret. indefinido",pensar,myśleć,to think,vs,pret_indefinido,pensasteis,myśleliście,False,
"pensar, ellos, pret. indefinido",pensar,myśleć,to think,ellos,pret_indefinido,pensaron,myśleli,False,
"pensar, yo, pret. perfecto",pensar,myśleć,to think,yo,pret_perfecto,he pensado,,False,
"pensar, tú, pret. perfecto",pensar,myśleć,to think,tu,pret_perfecto,has pensado,,False,
"pensar, él, pret. perfecto",pensar,myśleć,to think,el,pret_perfecto,ha pensado,,False,
"pensar, ns, pret. perfecto",pensar,myśleć,to think,ns,pret_perfecto,hemos pensado,,False,
"pensar, vs, pret. perfecto",pensar,myśleć,to think,vs,pret_perfecto,habéis pensado,,False,
"pensar, ellos, pret. perfecto",pensar,myśleć,to think,ellos,pret_perfecto,han pensado,,False,
"pensar, yo, presente progresivo",pensar,myśleć,to think,yo,presente_progresivo,estoy pensando,,False,
"pensar, tú, presente progresivo",pensar,myśleć,to think,tu,presente_progresivo,estás pensando,,False,
"pensar, él, presente progresivo",pensar,myśleć,to think,el,presente_progresivo,está pensando,,False,
"pensar, ns, presente progresivo",pensar,myśleć,to think,ns,presente_progresivo,estamos pensando,,False,
"pensar, vs, presente progresivo",pensar,myśleć,to think,vs,presente_progresivo,estáis pensando,,False,
"pensar, ellos, presente progresivo",pensar,myśleć,to think,ellos,presente_progresivo,están pensando,,False,
"pensar, yo, pretérito imperfecto",pensar,myśleć,to think,yo,pret_imperfecto,pensaba,,False,
"pensar, tú, pretérito imperfecto",pensar,myśleć,to think,tu,pret_imperfecto,pensabas,,False,
"pensar, él, pretérito imperfecto",pensar,myśleć,to think,el,pret_imperfecto,pensaba,,False,
"pensar, ns, pretérito imperfecto",pensar,myśleć,to think,ns,pret_imperfecto,pensábamos,,False,
"pensar, vs, pretérito imperfecto",pensar,myśleć,to think,vs,pret_imperfecto,pensabais,,False,
"pensar, ellos, pretérito imperfecto",pensar,myśleć,to think,ellos,pret_imperfecto,pensaban,,False,
"pensar, tú, imperativo",pensar,myśleć,to think,tu,imperativo,p<em>i</em>ensa,,True,
"pensar, usted, imperativo",pensar,myśleć,to think,ud,imperativo,p<em>i</em>ense,,True,
"pensar, ns, imperativo",pensar,myśleć,to think,ns,imperativo,pensemos,,False,
"pensar, vs, imperativo",pensar,myśleć,to think,vs,imperativo,pensad,,False,
"pensar, ustedes, imperativo",pensar,myśleć,to think,uds,imperativo,p<em>i</em>ensen,,True,
"pensar, yo, futuro",pensar,myśleć,to think,yo,futuro_simple,pensaré,,False,
"pensar, tú, futuro",pensar,myśleć,to think,tu,futuro_simple,pensarás,,False,
"pensar, él, futuro",pensar,myśleć,to think,el,futuro_simple,pensará,,False,
"pensar, ns, futuro",pensar,myśleć,to think,ns,futuro_simple,pensaremos,,False,
"pensar, vs, futuro",pensar,myśleć,to think,vs,futuro_simple,pensaréis,,False,
"pensar, ellos, futuro",pensar,myśleć,to think,ellos,futuro_simple,pensarán,,False,
"poder, yo, presente",poder,móc,to be able to,yo,presente,p<em>ue</em>do,mogę,True,
"poder, tú, presente",poder,móc,to be able to,tu,presente,p<em>ue</em>des,możesz,True,
"poder, él, presente",poder,móc,to be able to,el,presente,p<em>ue</em>de,może,True,
"poder, ns, presente",poder,móc,to be able to,ns,presente,podemos,możemy,False,
"poder, vs, presente",poder,móc,to be able to,vs,presente,podéis,możecie,False,
"poder, ellos, presente",poder,móc,to be able to,ellos,presente,p<em>ue</em>den,możą,True,
"poder, yo, pret. indefinido",poder,móc,to be able to,yo,pret_indefinido,p<em>ude</em>,mógłem,True,
"poder, tú, pret. indefinido",poder,móc,to be able to,tu,pret_indefinido,p<em>u</em>diste,mógłeś,True,
"poder, él, pret. indefinido",poder,móc,to be able to,el,pret_indefinido,p<em>udo</em>,mógł,True,
"poder, ns, pret. indefinido",poder,móc,to be able to,ns,pret_indefinido,p<em>u</em>dimos,mogliśmy,True,
"poder, vs, pret. indefinido",poder,móc,to be able to,vs,pret_indefinido,p<em>u</em>disteis,mogliście,True,
"poder, ellos, pret. indefinido",poder,móc,to be able to,ellos,pret_indefinido,p<em>u</em>dieron,mogli,True,
"poder, yo, pret. perfecto",poder,móc,to be able to,yo,pret_perfecto,he podido,,False,
"poder, tú, pret. perfecto",poder,móc,to be able to,tu,pret_perfecto,has podido,,False,
"poder, él, pret. perfecto",poder,móc,to be able to,el,pret_perfecto,ha podido,,False,
"poder, ns, pret. perfecto",poder,móc,to be able to,ns,pret_perfecto,hemos podido,,False,
"poder, vs, pret. perfecto",poder,móc,to be able to,vs,pret_perfecto,habéis podido,,False,
"poder, ellos, pret. perfecto",poder,móc,to be able to,ellos,pret_perfecto,han podido,,False,
"poder, yo, presente progresivo",poder,móc,to be able to,yo,presente_progresivo,estoy p<em>u</em>diendo,,True,
"poder, tú, presente progresivo",poder,móc,to be able to,tu,presente_progresivo,estás p<em>u</em>diendo,,True,
"poder, él, presente progresivo",poder,móc,to be able to,el,presente_progresivo,está p<em>u</em>diendo,,True,
"poder, ns, presente progresivo",poder,móc,to be able to,ns,presente_progresivo,estamos p<em>u</em>diendo,,True,
"poder, vs, presente progresivo",poder,móc,to be able to,vs,presente_progresivo,estáis p<em>u</em>diendo,,True,
"poder, ellos, presente progresivo",poder,móc,to be able to,ellos,presente_progresivo,están p<em>u</em>diendo,,True,
"poder, yo, pretérito imperfecto",poder,móc,to be able to,yo,pret_imperfecto,podía,,False,
"poder, tú, pretérito imperfecto",poder,móc,to be able to,tu,pret_imperfecto,podías,,False,
"poder, él, pretérito imperfecto",poder,móc,to be able to,el,pret_imperfecto,podía,,False,
"poder, ns, pretérito imperfecto",poder,móc,to be able to,ns,pret_imperfecto,podíamos,,False,
"poder, vs, pretérito imperfecto",poder,móc,to be able to,vs,pret_imperfecto,podíais,,False,
"poder, ellos, pretérito imperfecto",poder,móc,to be able to,ellos,pret_imperfecto,podían,,False,
"poder, tú, imperativo",poder,móc,to be able to,tu,imperativo,p<em>ue</em>de,,True,
"poder, usted, imperativo",poder,móc,to be able to,ud,imperativo,p<em>ue</em>da,,True,
"poder, ns, imperativo",poder,móc,to be able to,ns,imperativo,podamos,,False,
"poder, vs, imperativo",poder,móc,to be able to,vs,imperativo,poded,,False,
"poder, ustedes, imperativo",poder,móc,to be able to,uds,imperativo,p<em>ue</em>dan,,True,
"poder, yo, futuro",poder,móc,to be able to,yo,futuro_simple,pod<em>r</em>é,,True,
"poder, tú, futuro",poder,móc,to be able to,tu,futuro_simple,pod<em>r</em>ás,,True,
"poder, él, futuro",poder,móc,to be able to,el,futuro_simple,pod<em>r</em>á,,True,
"poder, ns, futuro",poder,móc,to be able to,ns,futuro_simple,pod<em>r</em>emos,,True,
"poder, vs, futuro",poder,móc,to be able to,vs,futuro_simple,pod<em>r</em>éis,,True,
"poder, ellos, futuro",poder,móc,to be able to,ellos,futuro_simple,pod<em>r</em>án,,True,
"poner, yo, presente",poner,kłaść,to put,yo,presente,pon<em>g</em>o,,True,poner
"poner, tú, presente",poner,kłaść,to put,tu,presente,pones,,False,poner
"poner, él, presente",poner,kłaść,to put,el,presente,pone,,False,poner
"poner, ns, presente",poner,kłaść,to put,ns,presente,ponemos,,False,poner
"poner, vs, presente",poner,kłaść,to put,vs,presente,ponéis,,False,poner
"poner, ellos, presente",poner,kłaść,to put,ellos,presente,ponen,,False,poner
"poner, yo, pret. indefinido",poner,kłaść,to put,yo,pret_indefinido,p<em>use</em>,,True,poner
"poner, tú, pret. indefinido",poner,kłaść,to put,tu,pret_indefinido,p<em>us</em>iste,,True,poner
"poner, él, pret. indefinido",poner,kłaść,to put,el,pret_indefinido,p<em>uso</em>,,True,poner
"poner, ns, pret. indefinido",poner,kłaść,to put,ns,pret_indefinido,p<em>us</em>imos,,True,poner
"poner, vs, pret. indefinido",poner,kłaść,to put,vs,pret_indefinido,p<em>us</em>isteis,,True,poner
"poner, ellos, pret. indefinido",poner,kłaść,to put,ellos,pret_indefinido,p<em>us</em>ieron,,True,poner
"poner, yo, pret. perfecto",poner,kłaść,to put,yo,pret_perfecto,he p<em>uest</em>o,,True,poner
"poner, tú, pret. perfecto",poner,kłaść,to put,tu,pret_perfecto,has p<em>uest</em>o,,True,poner
"poner, él, pret. perfecto",poner,kłaść,to put,el,pret_perfecto,ha p<em>uest</em>o,,True,poner
"poner, ns, pret. perfecto",poner,kłaść,to put,ns,pret_perfecto,hemos p<em>uest</em>o,,True,poner
"poner, vs, pret. perfecto",poner,kłaść,to put,vs,pret_perfecto,habéis p<em>uest</em>o,,True,poner
"poner, ellos, pret. perfecto",poner,kłaść,to put,ellos,pret_perfecto,han p<em>uest</em>o,,True,poner
"poner, yo, presente progresivo",poner,kłaść,to put,yo,presente_progresivo,estoy poniendo,,False,poner
"poner, tú, presente progresivo",poner,kłaść,to put,tu,presente_progresivo,estás poniendo,,False,poner
"poner, él, presente progresivo",poner,kłaść,to put,el,presente_progresivo,está poniendo,,False,poner
"poner, ns, presente progresivo",poner,kłaść,to put,ns,presente_progresivo,estamos poniendo,,False,poner
"poner, vs, presente progresivo",poner,kłaść,to put,vs,presente_progresivo,estáis poniendo,,False,poner
"poner, ellos, presente progresivo",poner,kłaść,to put,ellos,presente_progresivo,están poniendo,,False,poner
"poner, yo, pretérito imperfecto",poner,kłaść,to put,yo,pret_imperfecto,ponía,,False,poner
"poner, tú, pretérito imperfecto",poner,kłaść,to put,tu,pret_imperfecto,ponías,,False,poner
"poner, él, pretérito imperfecto",poner,kłaść,to put,el,pret_imperfecto,ponía,,False,poner
"poner, ns, pretérito imperfecto",poner,kłaść,to put,ns,pret_imperfecto,poníamos,,False,poner
"poner, vs, pretérito imperfecto",poner,kłaść,to put,vs,pret_imperfecto,poníais,,False,poner
"poner, ellos, pretérito imperfecto",poner,kłaść,to put,ellos,pret_imperfecto,ponían,,False,poner
"poner, tú, imperativo",poner,kłaść,to put,tu,imperativo,po<em>n</em>,,True,poner
"poner, usted, imperativo",poner,kłaść,to put,ud,imperativo,pon<em>g</em>a,,True,poner
"poner, ns, imperativo",poner,kłaść,to put,ns,imperativo,pon<em>g</em>amos,,True,poner
"poner, vs, imperativo",poner,kłaść,to put,vs,imperativo,poned,,False,poner
"poner, ustedes, imperativo",poner,kłaść,to put,uds,imperativo,pon<em>g</em>an,,True,poner
"poner, yo, futuro",poner,kłaść,to put,yo,futuro_simple,pon<em>dr</em>é,,True,poner
"poner, tú, futuro",poner,kłaść,to put,tu,futuro_simple,pon<em>dr</em>ás,,True,poner
"poner, él, futuro",poner,kłaść,to put,el,futuro_simple,pon<em>dr</em>á,,True,poner
"poner, ns, futuro",poner,kłaść,to put,ns,futuro_simple,pon<em>dr</em>emos,,True,poner
"poner, vs, futuro",poner,kłaść,to put,vs,futuro_simple,pon<em>dr</em>éis,,True,poner
"poner, ellos, futuro",poner,kłaść,to put,ellos,futuro_simple,pon<em>dr</em>án,,True,poner
"querer, yo, presente",querer,chcieć,to want,yo,presente,qu<em>i</em>ero,chcę,True,
"querer, tú, presente",querer,chcieć,to want,tu,presente,qu<em>i</em>eres,chcesz,True,
"querer, él, presente",querer,chcieć,to want,el,presente,qu<em>i</em>ere,chce,True,
"querer, ns, presente",querer,chcieć,to want,ns,presente,queremos,chcemy,False,
"querer, vs, presente",querer,chcieć,to want,vs,presente,queréis,chcecie,False,
"querer, ellos, presente",querer,chcieć,to want,ellos,presente,qu<em>i</em>eren,chcą,True,
"querer, yo, pret. indefinido",querer,chcieć,to want,yo,pret_indefinido,qu<em>ise</em>,chciałem,True,
"querer, tú, pret. indefinido",querer,chcieć,to want,tu,pret_indefinido,qu<em>is</em>iste,chciałeś,True,
"querer, él, pret. indefinido",querer,chcieć,to want,el,pret_indefinido,qu<em>iso</em>,chciał,True,
"querer, ns, pret. indefinido",querer,chcieć,to want,ns,pret_indefinido,qu<em>is</em>imos,chcieliśmy,True,
"querer, vs, pret. indefinido",querer,chcieć,to want,vs,pret_indefinido,qu<em>is</em>isteis,chcieliście,True,
"querer, ellos, pret. indefinido",querer,chcieć,to want,ellos,pret_indefinido,qu<em>is</em>ieron,chcieli,True,
"querer, yo, pret. perfecto",querer,chcieć,to want,yo,pret_perfecto,he querido,,False,
"querer, tú, pret. perfecto",querer,chcieć,to want,tu,pret_perfecto,has querido,,False,
"querer, él, pret. perfecto",querer,chcieć,to want,el,pret_perfecto,ha querido,,False,
"querer, ns, pret. perfecto",querer,chcieć,to want,ns,pret_perfecto,hemos querido,,False,
"querer, vs, pret. perfecto",querer,chcieć,to want,vs,pret_perfecto,habéis querido,,False,
"querer, ellos, pret. perfecto",querer,chcieć,to want,ellos,pret_perfecto,han querido,,False,
"querer, yo, presente progresivo",querer,chcieć,to want,yo,presente_progresivo,estoy queriendo,,False,
"querer, tú, presente progresivo",querer,chcieć,to want,tu,presente_progresivo,estás queriendo,,False,
"querer, él, presente progresivo",querer,chcieć,to want,el,presente_progresivo,está queriendo,,False,
"querer, ns, presente progresivo",querer,chcieć,to want,ns,presente_progresivo,estamos queriendo,,False,
"querer, vs, presente progresivo",querer,chcieć,to want,vs,presente_progresivo,estáis queriendo,,False,
"querer, ellos, presente progresivo",querer,chcieć,to want,ellos,presente_progresivo,están queriendo,,False,
"querer, yo, pretérito imperfecto",querer,chcieć,to want,yo,pret_imperfecto,quería,,False,
"querer, tú, pretérito imperfecto",querer,chcieć,to want,tu,pret_imperfecto,querías,,False,
"querer, él, pretérito imperfecto",querer,chcieć,to want,el,pret_imperfecto,quería,,False,
"querer, ns, pretérito imperfecto",querer,chcieć,to want,ns,pret_imperfecto,queríamos,,False,
"querer, vs, pretérito imperfecto",querer,chcieć,to want,vs,pret_imperfecto,queríais,,False,
"querer, ellos, pretérito imperfecto",querer,chcieć,to want,ellos,pret_imperfecto,querían,,False,
"querer, tú, imperativo",querer,chcieć,to want,tu,imperativo,qu<em>i</em>ere,,True,
"querer, usted, imperativo",querer,chcieć,to want,ud,imperativo,qu<em>i</em>era,,True,
"querer, ns, imperativo",querer,chcieć,to want,ns,imperativo,queramos,,False,
"querer, vs, imperativo",querer,chcieć,to want,vs,imperativo,quered,,False,
"querer, ustedes, imperativo",querer,chcieć,to want,uds,imperativo,qu<em>i</em>eran,,True,
"querer, yo, futuro",querer,chcieć,to want,yo,futuro_simple,quer<em>r</em>é,,True,
"querer, tú, futuro",querer,chcieć,to want,tu,futuro_simple,quer<em>r</em>ás,,True,
"querer, él, futuro",querer,chcieć,to want,el,futuro_simple,quer<em>r</em>á,,True,
"querer, ns, futuro",querer,chcieć,to want,ns,futuro_simple,quer<em>r</em>emos,,True,
"querer, vs, futuro",querer,chcieć,to want,vs,futuro_simple,quer<em>r</em>éis,,True,
"querer, ellos, futuro",querer,chcieć,to want,ellos,futuro_simple,quer<em>r</em>án,,True,
"saber, yo, presente",saber,wiedzieć,to know,yo,presente,s<em>é</em>,wiem,True,
"saber, tú, presente",saber,wiedzieć,to know,tu,presente,sabes,wiesz,False,
"saber, él, presente",saber,wiedzieć,to know,el,presente,sabe,wie,False,
"saber, ns, presente",saber,wiedzieć,to know,ns,presente,sabemos,wiemy,False,
"saber, vs, presente",saber,wiedzieć,to know,vs,presente,sabéis,wiecie,False,
"saber, ellos, presente",saber,wiedzieć,to know,ellos,presente,saben,wią,False,
"saber, yo, pret. indefinido",saber,wiedzieć,to know,yo,pret_indefinido,s<em>upe</em>,wiedziałem,True,
"saber, tú, pret. indefinido",saber,wiedzieć,to know,tu,pret_indefinido,s<em>up</em>iste,wiedziałeś,True,
"saber, él, pret. indefinido",saber,wiedzieć,to know,el,pret_indefinido,s<em>upo</em>,wiedział,True,
"saber, ns, pret. indefinido",saber,wiedzieć,to know,ns,pret_indefinido,s<em>up</em>imos,wiedzieliśmy,True,
"saber, vs, pret. indefinido",saber,wiedzieć,to know,vs,pret_indefinido,s<em>up</em>isteis,wiedzieliście,True,
"saber, ellos, pret. indefinido",saber,wiedzieć,to know,ellos,pret_indefinido,s<em>up</em>ieron,wiedzieli,True,
"saber, yo, pret. perfecto",saber,wiedzieć,to know,yo,pret_perfecto,he sabido,,False,
"saber, tú, pret. perfecto",saber,wiedzieć,to know,tu,pret_perfecto,has sabido,,False,
"saber, él, pret. perfecto",saber,wiedzieć,to know,el,pret_perfecto,ha sabido,,False,
"saber, ns, pret. perfecto",saber,wiedzieć,to know,ns,pret_perfecto,hemos sabido,,False,
"saber, vs, pret. perfecto",saber,wiedzieć,to know,vs,pret_perfecto,habéis sabido,,False,
"saber, ellos, pret. perfecto",saber,wiedzieć,to know,ellos,pret_perfecto,han sabido,,False,
"saber, yo, presente progresivo",saber,wiedzieć,to know,yo,presente_progresivo,estoy sabiendo,,False,
"saber, tú, presente progresivo",saber,wiedzieć,to know,tu,presente_progresivo,estás sabiendo,,False,
"saber, él, presente progresivo",saber,wiedzieć,to know,el,presente_progresivo,está sabiendo,,False,
"saber, ns, presente progresivo",saber,wiedzieć,to know,ns,presente_progresivo,estamos sabiendo,,False,
"saber, vs, presente progresivo",saber,wiedzieć,to know,vs,presente_progresivo,estáis sabiendo,,False,
"saber, ellos, presente progresivo",saber,wiedzieć,to know,ellos,presente_progresivo,están sabiendo,,False,
"saber, yo, pretérito imperfecto",saber,wiedzieć,to know,yo,pret_imperfecto,sabía,,False,
"saber, tú, pretérito imperfecto",saber,wiedzieć,to know,tu,pret_imperfecto,sabías,,False,
"saber, él, pretérito imperfecto",saber,wiedzieć,to know,el,pret_imperfecto,sabía,,False,
"saber, ns, pretérito imperfecto",saber,wiedzieć,to know,ns,pret_imperfecto,sabíamos,,False,
"saber, vs, pretérito imperfecto",saber,wiedzieć,to know,vs,pret_imperfecto,sabíais,,False,
"saber, ellos, pretérito imperfecto",saber,wiedzieć,to know,ellos,pret_imperfecto,sabían,,False,
"saber, tú, imperativo",saber,wiedzieć,to know,tu,imperativo,sabe,,False,
"saber, usted, imperativo",saber,wiedzieć,to know,ud,imperativo,s<em>ep</em>a,,True,
"saber, ns, imperativo",saber,wiedzieć,to know,ns,imperativo,s<em>ep</em>amos,,True,
"saber, vs, imperativo",saber,wiedzieć,to know,vs,imperativo,sabed,,False,
"saber, ustedes, imperativo",saber,wiedzieć,to know,uds,imperativo,s<em>ep</em>an,,True,
"saber, yo, futuro",saber,wiedzieć,to know,yo,futuro_simple,sab<em>r</em>é,,True,
"saber, tú, futuro",saber,wiedzieć,to know,tu,futuro_simple,sab<em>r</em>ás,,True,
"saber, él, futuro",saber,wiedzieć,to know,el,futuro_simple,sab<em>r</em>á,,True,
"saber, ns, futuro",saber,wiedzieć,to know,ns,futuro_simple,sab<em>r</em>emos,,True,
"saber, vs, futuro",saber,wiedzieć,to know,vs,futuro_simple,sab<em>r</em>éis,,True,
"saber, ellos, futuro",saber,wiedzieć,to know,ellos,futuro_simple,sab<em>r</em>án,,True,
"salir, yo, presente",salir,wychodzić,to go out,yo,presente,sal<em>g</em>o,wychodzę,True,
"salir, tú, presente",salir,wychodzić,to go out,tu,presente,sales,wychodzisz,False,
"salir, él, presente",salir,wychodzić,to go out,el,presente,sale,wychodzi,False,
"salir, ns, presente",salir,wychodzić,to go out,ns,presente,salimos,wychodzimy,False,
"salir, vs, presente",salir,wychodzić,to go out,vs,presente,salís,wychodzicie,False,
"salir, ellos, presente",salir,wychodzić,to go out,ellos,presente,salen,wychodzą,False,
"salir, yo, pret. indefinido",salir,wychodzić,to go out,yo,pret_indefinido,salí,wyszedłem,False,
"salir, tú, pret. indefinido",salir,wychodzić,to go out,tu,pret_indefinido,saliste,wyszedłeś,False,
"salir, él, pret. indefinido",salir,wychodzić,to go out,el,pret_indefinido,salió,wyszedł,False,
"salir, ns, pret. indefinido",salir,wychodzić,to go out,ns,pret_indefinido,salimos,wyszliśmy,False,
"salir, vs, pret. indefinido",salir,wychodzić,to go out,vs,pret_indefinido,salisteis,wyszliście,False,
"salir, ellos, pret. indefinido",salir,wychodzić,to go out,ellos,pret_indefinido,salieron,wyszli,False,
"salir, yo, pret. perfecto",salir,wychodzić,to go out,yo,pret_perfecto,he salido,,False,
"salir, tú, pret. perfecto",salir,wychodzić,to go out,tu,pret_perfecto,has salido,,False,
"salir, él, pret. perfecto",salir,wychodzić,to go out,el,pret_perfecto,ha salido,,False,
"salir, ns, pret. perfecto",salir,wychodzić,to go out,ns,pret_perfecto,hemos salido,,False,
"salir, vs, pret. perfecto",salir,wychodzić,to go out,vs,pret_perfecto,habéis salido,,False,
"salir, ellos, pret. perfecto",salir,wychodzić,to go out,ellos,pret_perfecto,han salido,,False,
"salir, yo, presente progresivo",salir,wychodzić,to go out,yo,presente_progresivo,estoy saliendo,,False,
"salir, tú, presente progresivo",salir,wychodzić,to go out,tu,presente_progresivo,estás saliendo,,False,
"salir, él, presente progresivo",salir,wychodzić,to go out,el,presente_progresivo,está saliendo,,False,
"salir, ns, presente progresivo",salir,wychodzić,to go out,ns,presente_progresivo,estamos saliendo,,False,
"salir, vs, presente progresivo",salir,wychodzić,to go out,vs,presente_progresivo,estáis saliendo,,False,
"salir, ellos, presente progresivo",salir,wychodzić,to go out,ellos,presente_progresivo,están saliendo,,False,
"salir, yo, pretérito imperfecto",salir,wychodzić,to go out,yo,pret_imperfecto,salía,,False,
"salir, tú, pretérito imperfecto",salir,wychodzić,to go out,tu,pret_imperfecto,salías,,False,
"salir, él, pretérito imperfecto",salir,wychodzić,to go out,el,pret_imperfecto,salía,,False,
"salir, ns, pretérito imperfecto",salir,wychodzić,to go out,ns,pret_imperfecto,salíamos,,False,
"salir, vs, pretérito imperfecto",salir,wychodzić,to go out,vs,pret_imperfecto,salíais,,False,
"salir, ellos, pretérito imperfecto",salir,wychodzić,to go out,ellos,pret_imperfecto,salían,,False,
"salir, tú, imperativo",salir,wychodzić,to go out,tu,imperativo,sa<em>l</em>,,True,
"salir, usted, imperativo",salir,wychodzić,to go out,ud,imperativo,sal<em>g</em>a,,True,
"salir, ns, imperativo",salir,wychodzić,to go out,ns,imperativo,sal<em>g</em>amos,,True,
"salir, vs, imperativo",salir,wychodzić,to go out,vs,imperativo,salid,,False,
"salir, ustedes, imperativo",salir,wychodzić,to go out,uds,imperativo,sal<em>g</em>an,,True,
"salir, yo, futuro",salir,wychodzić,to go out,yo,futuro_simple,sal<em>dr</em>é,,True,
"salir, tú, futuro",salir,wychodzić,to go out,tu,futuro_simple,sal<em>dr</em>ás,,True,
"salir, él, futuro",salir,wychodzić,to go out,el,futuro_simple,sal<em>dr</em>á,,True,
"salir, ns, futuro",salir,wychodzić,to go out,ns,futuro_simple,sal<em>dr</em>emos,,True,
"salir, vs, futuro",salir,wychodzić,to go out,vs,futuro_simple,sal<em>dr</em>éis,,True,
"salir, ellos, futuro",salir,wychodzić,to go out,ellos,futuro_simple,sal<em>dr</em>án,,True,
"seguir, yo, presente",seguir,kontynuować,to follow,yo,presente,s<em>ig</em>o,,True,
"seguir, tú, presente",seguir,kontynuować,to follow,tu,presente,s<em>i</em>gues,,True,
"seguir, él, presente",seguir,kontynuować,to follow,el,presente,s<em>i</em>gue,,True,
"seguir, ns, presente",seguir,kontynuować,to follow,ns,presente,seguimos,,False,
"seguir, vs, presente",seguir,kontynuować,to follow,vs,presente,seguís,,False,
"seguir, ellos, presente",seguir,kontynuować,to follow,ellos,presente,s<em>i</em>guen,,True,
"seguir, yo, pret. indefinido",seguir,kontynuować,to follow,yo,pret_indefinido,seguí,,False,
"seguir, tú, pret. indefinido",seguir,kontynuować,to follow,tu,pret_indefinido,seguiste,,False,
"seguir, él, pret. indefinido",seguir,kontynuować,to follow,el,pret_indefinido,s<em>i</em>guió,,True,
"seguir, ns, pret. indefinido",seguir,kontynuować,to follow,ns,pret_indefinido,seguimos,,False,
"seguir, vs, pret. indefinido",seguir,kontynuować,to follow,vs,pret_indefinido,seguisteis,,False,
"seguir, ellos, pret. indefinido",seguir,kontynuować,to follow,ellos,pret_indefinido,s<em>i</em>guieron,,True,
"seguir, yo, pret. perfecto",seguir,kontynuować,to follow,yo,pret_perfecto,he seguido,,False,
"seguir, tú, pret. perfecto",seguir,kontynuować,to follow,tu,pret_perfecto,has seguido,,False,
"seguir, él, pret. perfecto",seguir,kontynuować,to follow,el,pret_perfecto,ha seguido,,False,
"seguir, ns, pret. perfecto",seguir,kontynuować,to follow,ns,pret_perfecto,hemos seguido,,False,
"seguir, vs, pret. perfecto",seguir,kontynuować,to follow,vs,pret_perfecto,habéis seguido,,False,
"seguir, ellos, pret. perfecto",seguir,kontynuować,to follow,ellos,pret_perfecto,han seguido,,False,
"seguir, yo, presente progresivo",seguir,kontynuować,to follow,yo,presente_progresivo,estoy s<em>i</em>guiendo,,True,
"seguir, tú, presente progresivo",seguir,kontynuować,to follow,tu,presente_progresivo,estás s<em>i</em>guiendo,,True,
"seguir, él, presente progresivo",seguir,kontynuować,to follow,el,presente_progresivo,está s<em>i</em>guiendo,,True,
"seguir, ns, presente progresivo",seguir,kontynuować,to follow,ns,presente_progresivo,estamos s<em>i</em>guiendo,,True,
"seguir, vs, presente progresivo",seguir,kontynuować,to follow,vs,presente_progresivo,estáis s<em>i</em>guiendo,,True,
"seguir, ellos, presente progresivo",seguir,kontynuować,to follow,ellos,presente_progresivo,están s<em>i</em>guiendo,,True,
"seguir, yo, pretérito imperfecto",seguir,kontynuować,to follow,yo,pret_imperfecto,seguía,,False,
"seguir, tú, pretérito imperfecto",seguir,kontynuować,to follow,tu,pret_imperfecto,seguías,,False,
"seguir, él, pretérito imperfecto",seguir,kontynuować,to follow,el,pret_imperfecto,seguía,,False,
"seguir, ns, pretérito imperfecto",seguir,kontynuować,to follow,ns,pret_imperfecto,seguíamos,,False,
